,id_player,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,250112690,11,7,1,0
1,250065419,11,4,2,0
2,250105927,10,7,0,0
3,250129965,10,5,1,0
4,250025791,9,7,2,0
5,250087938,9,7,0,0
6,250132811,9,3,0,0
7,250191448,9,1,1,0
8,250198240,8,11,2,0
9,250121149,8,6,1,0
10,250017824,8,6,0,0
11,250171301,8,5,0,0
12,250121533,8,4,2,0
13,250167111,8,4,0,0
14,250169764,8,2,2,0
15,250200228,7,9,2,0
16,250124460,7,8,0,0
17,250064274,7,7,1,0
18,250144858,7,7,1,0
19,250112122,7,6,0,0
20,250132407,7,5,2,0
21,250091290,7,5,1,0
22,250169730,7,5,0,0
23,250106939,7,4,0,0
24,250086315,7,2,2,0
25,250134536,7,2,1,0
26,250189047,7,2,1,0
27,250121132,7,1,2,0
28,250053044,7,0,0,0
29,250128377,6,10,1,0
30,250196709,6,10,0,0
31,250088061,6,8,0,0
32,250096849,6,8,0,0
33,250176450,6,6,0,0
34,250194673,6,6,0,0
35,250102868,6,5,2,0
36,250172672,6,5,2,0
37,250128270,6,5,2,0
38,250174063,6,5,0,0
39,250099180,6,4,0,0
40,250102035,6,3,2,0
41,250127111,6,3,1,0
42,250147342,6,3,1,0
43,250052554,6,3,0,0
44,250096954,6,2,1,0
45,250196712,6,2,1,0
46,250135339,6,2,0,0
47,250161141,6,2,0,0
48,250139010,6,1,1,0
49,250112186,6,1,0,0
50,250081553,6,1,0,0
51,250089225,6,1,0,0
52,250079545,6,0,1,0
53,250055663,6,0,1,0
54,250028211,6,0,1,0
55,250127284,6,0,0,0
56,250160436,5,8,0,0
57,250066886,5,8,0,0
58,250112224,5,8,0,0
59,250188474,5,7,3,0
60,250101727,5,7,1,0
61,250140940,5,6,1,0
62,250102308,5,6,1,0
63,250136465,5,5,1,0
64,250130414,5,5,0,0
65,250078012,5,5,0,0
66,250132831,5,4,1,0
67,250135101,5,4,0,1
68,250196588,5,4,0,0
69,250156235,5,4,0,0
70,250091199,5,4,0,0
71,250005343,5,3,1,0
72,250171067,5,3,1,0
73,250161140,5,3,1,0
74,250163454,5,3,0,0
75,250132323,5,3,0,0
76,250172787,5,3,0,0
77,250174126,5,2,0,0
78,250085369,5,2,0,0
79,250058227,5,2,0,0
80,250103243,5,1,2,1
81,250171283,5,1,1,0
82,250092517,5,1,1,0
83,250169706,5,1,0,0
84,250046522,5,1,0,0
85,250068733,5,1,0,0
86,250004721,5,0,1,0
87,250123910,5,0,1,0
88,250132810,5,0,0,0
89,250181680,4,11,2,0
90,250113276,4,8,2,0
91,250128398,4,8,1,0
92,250024456,4,7,3,0
93,250117405,4,7,1,0
94,250098471,4,6,2,0
95,250112969,4,6,0,0
96,250144297,4,6,0,0
97,250016616,4,5,1,0
98,250161248,4,5,1,0
99,250068808,4,5,0,0
100,250187759,4,5,0,0
101,250113373,4,5,0,0
102,250168990,4,4,2,1
103,250157930,4,4,2,0
104,250079383,4,4,2,0
105,250086263,4,4,0,0
106,250101728,4,4,0,0
107,250049573,4,3,2,0
108,250110734,4,3,1,0
109,250089228,4,3,1,0
110,250189052,4,3,1,0
111,250134728,4,3,1,0
112,250014042,4,3,0,0
113,250064446,4,3,0,0
114,250176453,4,3,0,0
115,250118391,4,3,0,0
116,250148830,4,3,0,0
117,250082469,4,3,0,0
118,250061361,4,3,0,0
119,250104089,4,2,2,1
120,250122213,4,2,2,0
121,250137390,4,2,1,0
122,250104075,4,2,1,0
123,250156457,4,2,1,0
124,250143328,4,2,1,0
125,250005231,4,2,1,0
126,250096309,4,2,0,0
127,250153849,4,2,0,0
128,250064252,4,2,0,0
129,250127538,4,2,0,0
130,250113103,4,2,0,0
131,250132309,4,2,0,0
132,250077453,4,2,0,0
133,74699,4,1,2,0
134,250121218,4,1,1,0
135,250019573,4,1,1,0
136,250112974,4,1,1,0
137,250079279,4,1,1,0
138,250106649,4,1,1,0
139,1906768,4,1,1,0
140,250189506,4,1,0,0
141,250056159,4,1,0,0
142,250028715,4,1,0,0
143,250115192,4,1,0,0
144,250138382,4,1,0,0
145,250171184,4,1,0,0
146,250103562,4,1,0,0
147,250163777,4,1,0,0
148,250113947,4,1,0,0
149,250163447,4,1,0,0
150,250054949,4,1,0,0
151,250142158,4,1,0,0
152,250061027,4,0,2,0
153,250087118,4,0,1,0
154,250055660,4,0,1,0
155,250081207,4,0,1,0
156,250129341,4,0,1,0
157,250091198,4,0,1,0
158,250099399,4,0,1,0
159,250014709,4,0,0,0
160,250124222,4,0,0,0
161,250055957,4,0,0,0
162,250064273,4,0,0,0
163,250056685,4,0,0,0
164,250123677,3,10,1,0
165,250013022,3,9,1,0
166,250171055,3,8,0,0
167,250063394,3,7,1,0
168,250002096,3,7,0,0
169,250145845,3,7,0,0
170,250129746,3,6,1,0
171,250138928,3,6,0,0
172,250132399,3,5,2,0
173,250187837,3,5,2,0
174,250101557,3,5,1,0
175,250124068,3,4,2,0
176,250116734,3,4,1,0
177,250169705,3,4,1,0
178,250043066,3,4,1,0
179,250066739,3,4,1,0
180,250127439,3,4,0,0
181,250128255,3,4,0,0
182,250041626,3,4,0,0
183,250088150,3,4,0,0
184,250068805,3,4,0,0
185,250117806,3,4,0,0
186,250187672,3,3,1,0
187,250058258,3,3,1,0
188,250032786,3,3,1,0
189,250174149,3,3,1,0
190,250124169,3,3,1,0
191,250167977,3,3,1,0
192,250187143,3,3,1,0
193,250162865,3,3,1,0
194,250123695,3,3,0,0
195,250051754,3,3,0,0
196,250112978,3,3,0,0
197,250081223,3,3,0,0
198,250200313,3,3,0,0
199,250078593,3,3,0,0
200,250183519,3,3,0,0
201,250129175,3,3,0,0
202,250066747,3,3,0,0
203,250117406,3,3,0,0
204,250039931,3,2,2,1
205,250091013,3,2,2,0
206,250121965,3,2,2,0
207,250065301,3,2,2,0
208,250153945,3,2,1,0
209,250130786,3,2,1,0
210,250070417,3,2,1,0
211,250085751,3,2,1,0
212,250041770,3,2,1,0
213,250145803,3,2,1,0
214,250119677,3,2,1,0
215,250071671,3,2,1,0
216,1902685,3,2,1,0
217,250099671,3,2,0,0
218,250086316,3,2,0,0
219,250164835,3,2,0,0
220,250169685,3,2,0,0
221,250145629,3,2,0,0
222,250144965,3,2,0,0
223,250146926,3,2,0,0
224,250188225,3,2,0,0
225,250064064,3,1,1,0
226,250139445,3,1,1,0
227,250113993,3,1,1,0
228,103335,3,1,1,0
229,250076631,3,1,1,0
230,250200231,3,1,1,0
231,250194564,3,1,1,0
232,250132195,3,1,1,0
233,250107324,3,1,1,0
234,250176201,3,1,0,0
235,250102866,3,1,0,0
236,250106148,3,1,0,0
237,250079677,3,1,0,0
238,250086789,3,1,0,0
239,250079670,3,1,0,0
240,50327423,3,1,0,0
241,250082664,3,1,0,0
242,250185976,3,1,0,0
243,250138982,3,1,0,0
244,250171045,3,0,2,0
245,250163786,3,0,1,0
246,250156002,3,0,1,0
247,250116067,3,0,1,0
248,250132465,3,0,1,0
249,250162325,3,0,0,0
250,250187221,3,0,0,0
251,250101723,3,0,0,0
252,250166930,3,0,0,0
253,250080471,3,0,0,0
254,250008901,3,0,0,0
255,250187238,2,11,1,0
256,250125538,2,10,0,0
257,250027780,2,8,1,0
258,250064027,2,8,0,0
259,250106967,2,7,1,0
260,250177886,2,7,0,0
261,250058722,2,7,0,0
262,250106969,2,6,0,0
263,250016833,2,6,0,0
264,250164991,2,6,0,0
265,250004363,2,5,2,0
266,250132886,2,5,2,0
267,250124430,2,5,1,0
268,250132730,2,5,1,0
269,250104939,2,5,1,0
270,250110894,2,5,1,0
271,250118281,2,5,1,0
272,250188247,2,5,0,0
273,98023,2,4,1,0
274,250081555,2,4,1,0
275,102153,2,4,1,0
276,250064232,2,4,0,0
277,250097909,2,4,0,0
278,250108215,2,4,0,0
279,250112880,2,4,0,0
280,250116951,2,4,0,0
281,250067629,2,4,0,0
282,250127492,2,3,2,0
283,250105686,2,3,2,0
284,250131901,2,3,1,0
285,250090766,2,3,1,0
286,250174822,2,3,1,0
287,250113001,2,3,0,0
288,250104066,2,3,0,0
289,250023009,2,3,0,0
290,250024448,2,3,0,0
291,250042632,2,3,0,0
292,250154416,2,3,0,0
293,250080572,2,3,0,0
294,250023097,2,2,1,0
295,104733,2,2,1,0
296,250160568,2,2,1,0
297,250126449,2,2,1,0
298,250177722,2,2,1,0
299,250088104,2,2,1,0
300,250089289,2,2,1,0
301,250091172,2,2,1,0
302,250181712,2,2,1,0
303,250110361,2,2,1,0
304,250019616,2,2,1,0
305,250186923,2,2,1,0
306,250052469,2,2,0,0
307,250099258,2,2,0,0
308,250076574,2,2,0,0
309,250200308,2,2,0,0
310,250159544,2,2,0,0
311,250024349,2,2,0,0
312,250112842,2,2,0,0
313,250187184,2,2,0,0
314,250127540,2,2,0,0
315,250026229,2,2,0,0
316,250102901,2,2,0,0
317,250115134,2,1,2,0
318,250134304,2,1,1,0
319,250077679,2,1,1,0
320,250188511,2,1,1,0
321,250067630,2,1,1,0
322,250130406,2,1,1,0
323,250193541,2,1,1,0
324,250155799,2,1,1,0
325,250196543,2,1,1,0
326,250029318,2,1,1,0
327,250023551,2,1,1,0
328,250054969,2,1,1,0
329,250193518,2,1,1,0
330,250194573,2,1,1,0
331,250064188,2,1,0,0
332,250146674,2,1,0,0
333,250112803,2,1,0,0
334,250117410,2,1,0,0
335,250134320,2,1,0,0
336,250122187,2,1,0,0
337,250101238,2,1,0,0
338,250166916,2,1,0,0
339,250117511,2,1,0,0
340,250164780,2,1,0,0
341,250187671,2,1,0,0
342,250135615,2,1,0,0
343,250172227,2,1,0,0
344,250006998,2,1,0,0
345,250040521,2,0,2,0
346,250172340,2,0,2,0
347,50327420,2,0,1,0
348,250079003,2,0,1,0
349,250101284,2,0,1,0
350,250142271,2,0,1,0
351,250113392,2,0,1,0
352,250064233,2,0,1,0
353,250112513,2,0,1,0
354,250141610,2,0,1,0
355,250194557,2,0,1,0
356,250165236,2,0,1,0
357,250196663,2,0,0,1
358,250129446,2,0,0,0
359,250116904,2,0,0,0
360,250059115,2,0,0,0
361,250096716,2,0,0,0
362,250200298,2,0,0,0
363,250019346,2,0,0,0
364,250115487,2,0,0,0
365,250058270,2,0,0,0
366,250113142,2,0,0,0
367,250063984,2,0,0,0
368,250197801,2,0,0,0
369,250092194,2,0,0,0
370,108908,2,0,0,0
371,250199902,2,0,0,0
372,250174849,2,0,0,0
373,250197958,2,0,0,0
374,250022869,2,0,0,0
375,250197264,2,0,0,0
376,250180309,2,0,0,0
377,250171667,2,0,0,0
378,250139101,2,0,0,0
379,250113211,1,10,1,0
380,250128120,1,8,0,0
381,250131541,1,7,0,0
382,250118964,1,7,0,0
383,250189363,1,6,1,0
384,250177497,1,6,1,0
385,250112400,1,6,1,0
386,250119181,1,6,0,0
387,250173126,1,6,0,0
388,1905153,1,6,0,0
389,250101444,1,6,0,0
390,250076126,1,5,0,0
391,250130234,1,5,0,0
392,250173502,1,5,0,0
393,250153349,1,4,1,0
394,250086037,1,4,1,0
395,250112217,1,4,0,0
396,250061721,1,4,0,0
397,250153402,1,4,0,0
398,250146610,1,4,0,0
399,250074010,1,4,0,0
400,250063617,1,4,0,0
401,250063505,1,3,3,0
402,250040471,1,3,1,0
403,250013058,1,3,1,0
404,250186123,1,3,1,0
405,250135672,1,3,0,0
406,250063980,1,3,0,0
407,250118504,1,3,0,0
408,250042422,1,3,0,0
409,250172668,1,3,0,0
410,250056566,1,3,0,0
411,250022829,1,3,0,0
412,250105244,1,3,0,0
413,250121584,1,3,0,0
414,250010223,1,3,0,0
415,250089209,1,3,0,0
416,250015966,1,3,0,0
417,250163186,1,2,2,0
418,250135416,1,2,1,0
419,250061589,1,2,1,0
420,250132401,1,2,0,0
421,250121294,1,2,0,0
422,250019498,1,2,0,0
423,250143693,1,2,0,0
424,1909917,1,2,0,0
425,250106722,1,2,0,0
426,250132829,1,2,0,0
427,250128385,1,2,0,0
428,250143669,1,2,0,0
429,250196664,1,2,0,0
430,250091841,1,2,0,0
431,50327428,1,1,1,0
432,250094540,1,1,1,0
433,250067334,1,1,1,0
434,250118797,1,1,1,0
435,250176491,1,1,1,0
436,250136445,1,1,1,0
437,250122746,1,1,1,0
438,250103561,1,1,0,1
